,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
10.06,-13.02,30.68,30.66,16.45,-1.18,34.81,23.85,-83.68,-38.52,95.16,0.94,512.6,604.63,573.96,0,1,4
9.24,-12.45,31,30.97,15.49,-1.47,34.66,44.41,-98.98,-42.78,116.62,0.46,1168.57,1356.5,1293.85,0,1,4
8.97,-12.17,31.12,31.09,15.11,-1.5,34.6,43.59,-110.9,-43.73,126.93,0.32,1447.17,1781.15,1669.83,0,1,4
8.32,-11.7,31.33,31.29,14.33,-1.72,34.46,53.1,-114.33,-47.61,134.75,0.32,1581.22,1899.92,1793.69,0,1,4
8.05,-11.47,31.43,31.39,13.99,-1.79,34.41,57.7,-109.34,-50.99,133.73,0.31,1672.73,1911.5,1831.91,0,1,4
7.59,-11.5,31.66,31.61,13.73,-2.18,34.53,46.99,-97.41,-47.14,117.98,0.31,1663.62,1904.88,1824.46,0,1,4
7.32,-11.91,31.69,31.63,13.87,-2.65,34.64,50.17,-80.29,-36.88,101.61,0.31,1586.35,1860.07,1768.83,0,1,4
7.28,-12.32,31.46,31.39,14.17,-2.93,34.56,48.42,-62.24,-30,84.37,0.34,1486.01,1800.83,1695.89,0,1,4
7.22,-12.54,31.37,31.29,14.3,-3.11,34.55,58.28,-64.77,-34.49,93.71,0.32,1598.87,1954.78,1836.14,0,1,4
7.12,-12.85,31.24,31.16,14.48,-3.38,34.53,67.09,-71.42,-43.41,107.17,0.32,1603.87,1904.46,1804.26,0,1,4
7.17,-13.27,31,30.91,14.83,-3.6,34.47,73.73,-67.16,-46.29,109.95,0.33,1534.16,1783.7,1700.52,0,1,4
7.12,-13.7,30.68,30.58,15.14,-3.89,34.34,83.55,-58.41,-45.56,111.66,0.32,1529.56,1833.94,1732.48,0,1,4
7.08,-14.12,30.22,30.11,15.45,-4.18,34.1,95.21,-60.24,-52.17,124.16,0.31,1523.78,1903.86,1777.17,0,1,4
7.4,-14.79,29.73,29.62,16.17,-4.33,34.02,104.32,-38.81,-42.51,119.15,0.3,1612.32,1976.48,1855.09,0,1,4
7.71,-15.34,29.13,29.02,16.79,-4.41,33.82,92.66,-25.29,-32.66,101.45,0.32,1438.99,1733.51,1635.34,0,1,4
